id,device_id,user_id,timestamp,event_type,login_result,login_source,failed_attempts_last_10_min,process_name,parent_process,is_from_unknown_folder,dest_port,dest_country,bytes_sent,device_type,action,hour_of_day,is_work_hours,user_risk_baseline,is_anomalous
1,LAPTOP-01,user_001,2025-12-26T01:52:47.168355,login_attempt,success,local,3,,,0,0,,0,,,1,0,0.2,0
2,LAPTOP-01,user_001,2025-12-22T01:10:11.168355,process_start,,,0,powershell.exe,cmd.exe,1,0,,0,,,1,0,0.6,1
3,OFFICE-PC-02,user_002,2025-12-24T11:55:24.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,11,1,0.4,0
4,OFFICE-PC-01,user_002,2025-12-22T03:43:38.168355,network_connection,,,0,,,0,443,foreign,139685,,,3,0,0.2,0
5,OFFICE-PC-02,user_001,2025-12-23T20:12:51.168355,network_connection,,,0,,,0,8080,domestic,370398,,,20,0,0.2,0
6,LAPTOP-01,user_002,2025-12-22T20:31:47.168355,device_change,,,0,,,0,0,,0,camera,removed,20,0,0.6,0
7,OFFICE-PC-01,user_002,2025-12-23T04:51:15.168355,login_attempt,success,local,1,,,0,0,,0,,,4,0,0.2,0
8,OFFICE-PC-02,user_004,2025-12-23T14:22:08.168355,network_connection,,,0,,,0,80,domestic,431861,,,14,1,0.2,0
9,OFFICE-PC-01,user_004,2025-12-22T19:51:31.168355,network_connection,,,0,,,0,80,foreign,262740,,,19,0,0.4,0
10,OFFICE-PC-02,user_002,2025-12-22T21:53:20.168355,network_connection,,,0,,,0,8080,foreign,225622,,,21,0,0.6,0
11,OFFICE-PC-02,user_003,2025-12-21T22:10:04.168355,login_attempt,success,local,1,,,0,0,,0,,,22,0,0.6,0
12,OFFICE-PC-02,user_001,2025-12-24T06:16:02.168355,login_attempt,success,local,2,,,0,0,,0,,,6,0,0.6,0
13,OFFICE-PC-01,user_001,2025-12-23T06:48:02.168355,network_connection,,,0,,,0,5555,foreign,4758742,,,6,0,0.2,1
14,OFFICE-PC-01,user_002,2025-12-22T05:25:43.168355,login_attempt,success,remote,0,,,0,0,,0,,,5,0,0.2,0
15,OFFICE-PC-01,user_003,2025-12-21T18:53:29.168355,login_attempt,success,remote,0,,,0,0,,0,,,18,1,0.6,0
16,LAPTOP-02,user_002,2025-12-26T09:12:43.168355,device_change,,,0,,,0,0,,0,usb,added,9,1,0.6,0
17,OFFICE-PC-01,user_004,2025-12-26T14:01:01.168355,device_change,,,0,,,0,0,,0,usb,added,14,1,0.2,0
18,LAPTOP-01,user_003,2025-12-21T12:12:47.168355,login_attempt,success,local,1,,,0,0,,0,,,12,1,0.2,0
19,LAPTOP-01,user_003,2025-12-21T09:52:50.168355,process_start,,,0,word.exe,explorer.exe,0,0,,0,,,9,1,0.6,0
20,OFFICE-PC-02,user_002,2025-12-24T06:49:39.168355,device_change,,,0,,,0,0,,0,camera,removed,6,0,0.4,0
21,OFFICE-PC-02,user_001,2025-12-26T14:18:39.168355,network_connection,,,0,,,0,22,foreign,2107174,,,14,1,0.2,1
